,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,0.76,1.11,0.84
1,2,Defector,0.8,1.16,0.93
2,3,Defector,0.96,0.84,0.81
3,4,Defector,0.76,2.75,2.09
4,5,Tit For Tat,1.22,0.86,1.05
5,6,Defector,1.19,0.74,0.88
6,7,Cooperator,0.73,0.91,0.66
7,8,Cooperator,1.32,0.77,1.02
8,9,GTFT: 0.33,1.56,1.13,1.76
9,10,Cooperator,0.75,0.78,0.58
10,11,Defector,0.83,0.73,0.61
11,12,Tit For Tat,0.74,0.75,0.55
12,13,GTFT: 0.33,0.7,1.16,0.81
13,14,Tit For Tat,0.75,1.06,0.8
14,15,Defector,0.73,1.82,1.33
15,16,Cooperator,0.98,0.74,0.73
16,17,Defector,0.75,0.82,0.62
17,18,Defector,2.14,0.85,1.82
18,19,Cooperator,0.72,1.22,0.88
19,20,Tit For Tat,0.75,0.73,0.55
20,21,GTFT: 0.33,0.74,0.78,0.58
21,22,Cooperator,0.95,0.88,0.84
22,23,Defector,0.84,0.71,0.6
23,24,GTFT: 0.33,1.07,1.0,1.07
24,25,Tit For Tat,0.79,1.41,1.11
25,26,GTFT: 0.33,0.78,0.89,0.69
26,27,Tit For Tat,0.95,0.81,0.77
27,28,GTFT: 0.33,1.15,0.86,0.99
28,29,Defector,0.8,1.27,1.02
29,30,Cooperator,0.76,0.71,0.54
30,31,GTFT: 0.33,1.04,0.87,0.9
31,32,GTFT: 0.33,0.82,0.76,0.62
32,33,Tit For Tat,0.99,0.98,0.97
33,34,Cooperator,0.93,0.83,0.77
34,35,GTFT: 0.33,0.83,1.06,0.88
35,36,Tit For Tat,1.0,0.71,0.71
36,37,Cooperator,0.78,1.13,0.88
37,38,Cooperator,0.98,1.09,1.07
38,39,Tit For Tat,0.83,0.81,0.67
39,40,Tit For Tat,0.79,0.82,0.65
