,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,0.5,-4.12,-2.06
1,2,Defector,0.5,1.44,0.72
2,3,Defector,0.5,1.48,0.74
3,4,Defector,0.5,0.82,0.41
4,5,Tit For Tat,0.5,0.39,0.2
5,6,Defector,1.5,-1.13,-1.69
6,7,Cooperator,1.5,0.08,0.12
7,8,Cooperator,1.5,0.04,0.06
8,9,GTFT: 0.33,1.5,0.86,1.29
9,10,Cooperator,1.5,-1.58,-2.37
10,11,Defector,0.5,-0.05,-0.02
11,12,Tit For Tat,0.5,1.16,0.58
12,13,GTFT: 0.33,0.5,-0.03,-0.02
13,14,Tit For Tat,0.5,1.4,0.7
14,15,Defector,0.5,2.49,1.25
15,16,Cooperator,0.5,-4.56,-2.28
16,17,Defector,1.5,1.79,2.68
17,18,Defector,1.5,0.48,0.72
18,19,Cooperator,1.5,-0.42,-0.63
19,20,Tit For Tat,1.5,2.57,3.85
20,21,GTFT: 0.33,0.5,1.79,0.9
21,22,Cooperator,0.5,-0.05,-0.02
22,23,Defector,1.5,1.62,2.43
23,24,GTFT: 0.33,1.5,-3.03,-4.54
24,25,Tit For Tat,0.5,-0.05,-0.02
25,26,GTFT: 0.33,1.5,0.22,0.33
26,27,Tit For Tat,0.5,1.37,0.68
27,28,GTFT: 0.33,0.5,-2.06,-1.03
28,29,Defector,1.5,1.57,2.36
29,30,Cooperator,0.5,0.22,0.11
30,31,GTFT: 0.33,0.5,-0.89,-0.44
31,32,GTFT: 0.33,0.5,-0.83,-0.42
32,33,Tit For Tat,0.5,-0.34,-0.17
33,34,Cooperator,0.5,-1.03,-0.52
34,35,GTFT: 0.33,0.5,3.22,1.61
35,36,Tit For Tat,1.5,-0.95,-1.42
36,37,Cooperator,0.5,-1.73,-0.86
37,38,Cooperator,1.5,0.38,0.57
38,39,Tit For Tat,1.5,0.14,0.21
39,40,Tit For Tat,1.5,-4.35,-6.52
