,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,1.59,1,1.59
1,2,Defector,1.05,1,1.05
2,3,Defector,1.63,1,1.63
3,4,Defector,1.28,1,1.28
4,5,Tit For Tat,1.81,1,1.81
5,6,Defector,1.74,1,1.74
6,7,Cooperator,0.18,1,0.18
7,8,Cooperator,1.23,1,1.23
8,9,GTFT: 0.33,0.86,1,0.86
9,10,Cooperator,1.25,1,1.25
10,11,Defector,0.29,1,0.29
11,12,Tit For Tat,1.52,1,1.52
12,13,GTFT: 0.33,0.38,1,0.38
13,14,Tit For Tat,0.23,1,0.23
14,15,Defector,1.64,1,1.64
15,16,Cooperator,1.86,1,1.86
16,17,Defector,1.28,1,1.28
17,18,Defector,1.46,1,1.46
18,19,Cooperator,0.61,1,0.61
19,20,Tit For Tat,1.46,1,1.46
20,21,GTFT: 0.33,0.16,1,0.16
21,22,Cooperator,0.54,1,0.54
22,23,Defector,0.43,1,0.43
23,24,GTFT: 0.33,0.32,1,0.32
24,25,Tit For Tat,1.84,1,1.84
25,26,GTFT: 0.33,0.24,1,0.24
26,27,Tit For Tat,1.17,1,1.17
27,28,GTFT: 0.33,1.62,1,1.62
28,29,Defector,0.99,1,0.99
29,30,Cooperator,1.66,1,1.66
30,31,GTFT: 0.33,0.2,1,0.2
31,32,GTFT: 0.33,1.42,1,1.42
32,33,Tit For Tat,0.99,1,0.99
33,34,Cooperator,1.31,1,1.31
34,35,GTFT: 0.33,0.83,1,0.83
35,36,Tit For Tat,1.09,1,1.09
36,37,Cooperator,1.8,1,1.8
37,38,Cooperator,0.27,1,0.27
38,39,Tit For Tat,0.88,1,0.88
39,40,Tit For Tat,1.01,1,1.01
